interview_id,Capability,Opportunity,Motivation,Behavior
Interview 1,0.3636363636363636,0.2272727272727272,0.1818181818181818,0.2272727272727272
Interview 2,0.3714285714285714,0.1714285714285714,0.2285714285714285,0.2285714285714285
Interview 3,0.3783783783783784,0.1621621621621621,0.2162162162162162,0.2432432432432432
Interview 4,0.2571428571428571,0.2285714285714285,0.2285714285714285,0.2857142857142857
Interview 5,0.3125,0.15625,0.21875,0.3125
Interview 6,0.4054054054054054,0.1891891891891892,0.1351351351351351,0.2702702702702703
Interview 7,0.2307692307692307,0.1923076923076923,0.2692307692307692,0.3076923076923077
Interview 8,0.3333333333333333,0.25,0.1666666666666666,0.25
Interview 9,0.2592592592592592,0.1481481481481481,0.2592592592592592,0.3333333333333333
Interview 10,0.375,0.1875,0.21875,0.21875
Interview 11,0.3235294117647059,0.1470588235294117,0.2058823529411764,0.3235294117647059
Interview 12,0.28125,0.28125,0.21875,0.21875
